"Número de Série","Produto (SKU)","Produto (Nome)","Tipo de Divergência","Local Esperado","Local Encontrado","Status","Encontrado Por","Data Encontrado","Observações"
"000056","E00080","ESMERILHADEIRA 04POL 9557HN MAKITA 220V ","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:49:22",""
"000159","E00414","COMPRESSOR 120 LIBRAS MSI 50L SCHUZ 220V","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 11:09:02",""
"001322","E00449","MARTELETE/FUR. 2.5KG BOSCH 2-24D 220VBIF","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:50:42",""
"002012","E00449","MARTELETE/FUR. 2.5KG BOSCH 2-24D 220VBIF","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:50:34",""
"001709","E00587","MARTELETE/ROMP. 11KG BOSCH GSH11E 220V","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:50:23",""
"001617","E00587","MARTELETE/ROMP. 11KG BOSCH GSH11E 220V","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:50:15",""
"000291","E00891","MÁQ. TRANSF. DE SOLDA ESAB BANTAM 250 250A 110/220V","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:51:39",""
"001376","E01363","BOMBA SUBMERSIVEL 3,0CV 220V BIF SUPERBU","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:53:22",""
"002871","E01482","ESMERILHADEIRA 04POL GWS850 BOSCH 220V","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:50:07",""
"001130","E01482","ESMERILHADEIRA 04POL GWS850 BOSCH 220V","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:49:39",""
"002606","E01482","ESMERILHADEIRA 04POL GWS850 BOSCH 220V","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:37:32",""
"002745","E01482","ESMERILHADEIRA 04POL GWS850 BOSCH 220V","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:49:48",""
"001276","E01832","PERFURADOR DE SOLO TOYAMA GAS 2 TEMPOS","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 11:07:50",""
"003065","E01907","LIXADEIRA 07POL GWS2200-180 BOSCH 220V","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:50:53",""
"001287","L14278","MARTELETE/ROMP. 5KG BOSCH 5CE 220V BIF","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:53:52",""
"002689","L14410","PARAFUSADEIRA C/ BATERIA MOD. GSR120 BSC","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:51:03",""
"002488","L14550","PARAFUSADEIRA C/ BATERIA MOD. GSB120-LI","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:49:55",""
"002050","L14606","BOMBA SUBMERSIVEL 2CV 220V 2"POL SUPER ALPINA AMARELA","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","11","16/08/2025, 10:53:13",""
"002373","L14648","MAQUINA DE CORTAR PISO GAS BUFFALO BFG 350","Local Diferente","ESTOQUE","MANUT. INTERNA","Pendente","3","16/08/2025, 16:53:55",""
